date,sport,activity type,duration minutes,club name,club location,club map link,session rating,racket,partner,oponents,notes
2024-09-22,tennis,friendly,60,Hamlin Tennis Center,"Pottruck Health and Fitness Center, 3701 Walnut St #23, Philadelphia, PA 19104, United States",https://maps.app.goo.gl/XgwxaM5DJfFPxGjV8,,Head Graphene 360 Radical MP,Ana,,
2024-08-25,tennis,friendly,45,Hamlin Tennis Center,"Pottruck Health and Fitness Center, 3701 Walnut St #23, Philadelphia, PA 19104, United States",https://maps.app.goo.gl/XgwxaM5DJfFPxGjV8,,Head Graphene 360 Radical MP,Ana,,
2024-08-18,tennis,friendly,61,Hamlin Tennis Center,"Pottruck Health and Fitness Center, 3701 Walnut St #23, Philadelphia, PA 19104, United States",https://maps.app.goo.gl/XgwxaM5DJfFPxGjV8,,Head Graphene 360 Radical MP,Ana,,
2024-08-11,tennis,friendly,45,Hamlin Tennis Center,"Pottruck Health and Fitness Center, 3701 Walnut St #23, Philadelphia, PA 19104, United States",https://maps.app.goo.gl/XgwxaM5DJfFPxGjV8,,Head Graphene 360 Radical MP,Ana,,
2024-08-04,tennis,friendly,50,Hamlin Tennis Center,"Pottruck Health and Fitness Center, 3701 Walnut St #23, Philadelphia, PA 19104, United States",https://maps.app.goo.gl/XgwxaM5DJfFPxGjV8,,Head Graphene 360 Radical MP,Ana,,
2024-07-28,tennis,friendly,55,Hamlin Tennis Center,"Pottruck Health and Fitness Center, 3701 Walnut St #23, Philadelphia, PA 19104, United States",https://maps.app.goo.gl/XgwxaM5DJfFPxGjV8,,Head Graphene 360 Radical MP,Ana,,
2024-07-21,tennis,friendly,34,Hamlin Tennis Center,"Pottruck Health and Fitness Center, 3701 Walnut St #23, Philadelphia, PA 19104, United States",https://maps.app.goo.gl/XgwxaM5DJfFPxGjV8,,Head Graphene 360 Radical MP,Ana,,
2024-07-14,tennis,friendly,46,Hamlin Tennis Center,"Pottruck Health and Fitness Center, 3701 Walnut St #23, Philadelphia, PA 19104, United States",https://maps.app.goo.gl/XgwxaM5DJfFPxGjV8,,Head Graphene 360 Radical MP,Ana,,
2024-05-22,tennis,friendly,111,Hamlin Tennis Center,"Pottruck Health and Fitness Center, 3701 Walnut St #23, Philadelphia, PA 19104, United States",https://maps.app.goo.gl/XgwxaM5DJfFPxGjV8,,Head Graphene 360 Radical MP,Ana,,
2023-12-10,tennis,friendly,111,Hamlin Tennis Center,"Pottruck Health and Fitness Center, 3701 Walnut St #23, Philadelphia, PA 19104, United States",https://maps.app.goo.gl/XgwxaM5DJfFPxGjV8,,Head Graphene 360 Radical MP,Ana,,
2023-11-24,tennis,friendly,64,Hamlin Tennis Center,"Pottruck Health and Fitness Center, 3701 Walnut St #23, Philadelphia, PA 19104, United States",https://maps.app.goo.gl/XgwxaM5DJfFPxGjV8,,Head Graphene 360 Radical MP,Ana,,
2023-11-15,padel,friendly,79,PADELphia,"601 Righters Ferry Rd, Bala Cynwyd, PA 19004, United States",https://maps.app.goo.gl/TtuqmsdW6quwqmvN8,,HEAD Speed Elite,Mous,"Alvaro, ",
2023-11-12,padel,friendly,151,PADELphia,"601 Righters Ferry Rd, Bala Cynwyd, PA 19004, United States",https://maps.app.goo.gl/TtuqmsdW6quwqmvN8,,HEAD Speed Elite,Daniel,,
2023-11-11,padel,tournament,99,PADELphia,"601 Righters Ferry Rd, Bala Cynwyd, PA 19004, United States",https://maps.app.goo.gl/TtuqmsdW6quwqmvN8,,HEAD Speed Elite,Daniel,,
2023-11-11,padel,tournament,85,PADELphia,"601 Righters Ferry Rd, Bala Cynwyd, PA 19004, United States",https://maps.app.goo.gl/TtuqmsdW6quwqmvN8,,HEAD Speed Elite,Daniel,,
2023-11-10,padel,tournament,75,PADELphia,"601 Righters Ferry Rd, Bala Cynwyd, PA 19004, United States",https://maps.app.goo.gl/TtuqmsdW6quwqmvN8,,HEAD Speed Elite,Daniel,,
2023-11-09,padel,training,120,PADELphia,"601 Righters Ferry Rd, Bala Cynwyd, PA 19004, United States",https://maps.app.goo.gl/TtuqmsdW6quwqmvN8,,HEAD Speed Elite,Daniel,,
2023-11-06,padel,friendly,73,PADELphia,"601 Righters Ferry Rd, Bala Cynwyd, PA 19004, United States",https://maps.app.goo.gl/TtuqmsdW6quwqmvN8,,HEAD Speed Elite,,,
2023-10-21,tennis,friendly,42,Hamlin Tennis Center,"Pottruck Health and Fitness Center, 3701 Walnut St #23, Philadelphia, PA 19104, United States",https://maps.app.goo.gl/XgwxaM5DJfFPxGjV8,,Head Graphene 360 Radical MP,,,
2023-07-09,tennis,friendly,120,CityLights Building,"4-74 48th Ave, Long Island City, NY 11109, United States",https://maps.app.goo.gl/DgeKGmgBiPTedqED7,,Head Graphene 360 Radical MP,,,
2023-07-04,padel,friendly,66,Padel Haus Williamsburg,"307 Kent Ave, Brooklyn, NY 11249, United States",https://maps.app.goo.gl/f7X6WofMeypWVYVD6,,HEAD Speed Elite,,,
2023-06-18,tennis,friendly,40,CityLights Building,"4-74 48th Ave, Long Island City, NY 11109, United States",https://maps.app.goo.gl/DgeKGmgBiPTedqED7,,Head Graphene 360 Radical MP,,,
2023-06-09,padel,friendly,65,Padel Club Mallorca,"Carrer George Sand, 4, Llevant, 07007 Palma, Illes Balears, Spain",https://maps.app.goo.gl/PJsbEV5oRgTFBnhp8,,NA,,,
2023-05-13,tennis,friendly,47,CityLights Building,"4-74 48th Ave, Long Island City, NY 11109, United States",https://maps.app.goo.gl/DgeKGmgBiPTedqED7,,Head Graphene 360 Radical MP,,,
2023-04-16,tennis,friendly,30,CityLights Building,"4-74 48th Ave, Long Island City, NY 11109, United States",https://maps.app.goo.gl/DgeKGmgBiPTedqED7,,Head Graphene 360 Radical MP,,,
2023-04-09,tennis,friendly,35,CityLights Building,"4-74 48th Ave, Long Island City, NY 11109, United States",https://maps.app.goo.gl/DgeKGmgBiPTedqED7,,Head Graphene 360 Radical MP,,,
2023-03-12,padel,friendly,120,Padel Haus Williamsburg,"307 Kent Ave, Brooklyn, NY 11249, United States",https://maps.app.goo.gl/f7X6WofMeypWVYVD6,,HEAD Speed Elite,,,
